Aggregation Strategy,NCCL Algo,NCLL Proto,Multiple CUDA Streams,Contiguous Memory,Average Time (s),Theoretical Throughput (Gb/s),Real Throughput (Gb/s),Max GPU RAM Allocated (GB)
bucket_flatten,collnetchain,LL128,True,False,1.7242496830100815,117.84188143733624,111.77399181280472,37.712192
bucket_flatten,collnetchain,LL128,True,True,1.7182543800057222,116.63006093342307,112.16399166190874,37.712192
bucket_flatten,collnetdirect,SIMPLE,False,False,1.7726895009788375,111.15895709337373,108.71969955572088,48.181568
bucket_flatten,collnetdirect,SIMPLE,False,True,1.7620628266595304,112.68875239990024,109.37536791316636,48.181568
bucket_flatten,collnetdirect,SIMPLE,True,False,1.6982844026448827,116.61271300723521,113.48291820371841,37.712192
bucket_flatten,collnetdirect,SIMPLE,True,True,1.7099554126616567,116.11873723383243,112.7083598349556,37.712192
bucket_flatten,collnetdirect,LL,False,False,1.8049650086710851,110.88255528322085,106.77562668868342,48.181568
bucket_flatten,collnetdirect,LL,False,True,1.7669586036354303,109.79329164195468,109.07231757182946,48.181568
bucket_flatten,collnetdirect,LL,True,False,1.7228593230247498,117.40610490909583,111.86419423591639,37.712192
bucket_flatten,collnetdirect,LL,True,True,1.6940211063095678,116.6060063178414,113.7685175433587,37.712192
bucket_flatten,collnetdirect,LL128,False,False,1.7980403606779873,110.79190235350049,107.18684305803274,48.181568
bucket_flatten,collnetdirect,LL128,False,True,1.7911912063912798,111.63884021252944,107.59670395004139,48.181568
bucket_flatten,collnetdirect,LL128,True,False,1.704303617356345,116.37667368787002,113.08212221655089,37.712192
bucket_flatten,collnetdirect,LL128,True,True,1.6919610116941233,116.95770589376271,113.90703959485889,37.712192
bucket_flatten,nvls,SIMPLE,False,False,1.7570634483514975,111.88544000557583,109.68657400096656,48.181568
